original_index,event_id,tweet_id,text,user_id,created_at,user_loc,place_type,place_full_name,place_country_code,hashtags,user_mentions,image_urls,entities,words,filtered_words,sampled_words,date,prediction
27740,62,265242374463160320,Guess i want be seeing my boyfriend tonight. &lt;&lt;,310723631,2012-11-05 00:01:24,252.,,,,[],[],[],"[('tonight', 'TIME')]","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']",['ltlt'],2012-11-05,0
27740,62,265242374463160320,Guess i want be seeing my boyfriend tonight. &lt;&lt;,310723631,2012-11-05 00:01:24,252.,,,,[],[],[],"[('tonight', 'TIME')]","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']",['ltlt'],2012-11-05,0
27741,62,265242534094204928,goin to the falcons game . #ATL #dirtybirdzz,459486527,2012-11-05 00:02:02,,,,,"['ATL', 'dirtybirdzz']",[],[],"[('#ATL #', 'MONEY')]","['game', 'falcon', 'go']","['game', 'falcon', 'go']",[],2012-11-05,1
27740,62,265242374463160320,Guess i want be seeing my boyfriend tonight. &lt;&lt;,310723631,2012-11-05 00:01:24,252.,,,,[],[],[],"[('tonight', 'TIME')]","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']",['ltlt'],2012-11-05,0
27740,62,265242374463160320,Guess i want be seeing my boyfriend tonight. &lt;&lt;,310723631,2012-11-05 00:01:24,252.,,,,[],[],[],"[('tonight', 'TIME')]","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']",['ltlt'],2012-11-05,0
27740,62,265242374463160320,Guess i want be seeing my boyfriend tonight. &lt;&lt;,310723631,2012-11-05 00:01:24,252.,,,,[],[],[],"[('tonight', 'TIME')]","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']",['ltlt'],2012-11-05,0
57414,333,265244031091625984,#ThingsIGetAlot do they eat turkey's in turkey?,736852016,2012-11-05 00:07:59,The university of alabama,,,,['ThingsIGetAlot'],[],[],[],"['eat', 'turkey']","['eat', 'turkey']",[],2012-11-05,2
57414,333,265244031091625984,#ThingsIGetAlot do they eat turkey's in turkey?,736852016,2012-11-05 00:07:59,The university of alabama,,,,['ThingsIGetAlot'],[],[],[],"['eat', 'turkey']","['eat', 'turkey']",[],2012-11-05,2
27740,62,265242374463160320,Guess i want be seeing my boyfriend tonight. &lt;&lt;,310723631,2012-11-05 00:01:24,252.,,,,[],[],[],"[('tonight', 'TIME')]","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']","['guess', 'boyfriend', 'tonight', 'see', 'ltlt', 'want']",['ltlt'],2012-11-05,0
27741,62,265242534094204928,goin to the falcons game . #ATL #dirtybirdzz,459486527,2012-11-05 00:02:02,,,,,"['ATL', 'dirtybirdzz']",[],[],"[('#ATL #', 'MONEY')]","['game', 'falcon', 'go']","['game', 'falcon', 'go']",[],2012-11-05,1
